job-title,job-description,job-location,job-salary,job-url,job-type
"
      Consultant cybersécurité ISP (H/F) – IDF
    ","Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Consultant cybersécurité ISP (H/F) – IDF Mission à pourvoir en régie sur la région IDF Présence sur site : 3 jours / semaine Compétences obligatoires : analyse de risques ; identification des enjeux cyber ; connaissance de la réglementation ; veille réglementaire Votre mission : -        Analyses de risques et ISP -        Evolution de la méthode d’analyse de risques / ISP -        Mise en place des cadres, méthodologies et directives -        Analyse et consolidation des pratiques de gestion de la qualité et des risques de l’organisation -        Sensibilisation aux risques REF : EFP/DHCZMQ/ODVB Plus d’offres sur : Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Consultant cybersécurité ISP (H/F) – IDF Mission à pourvoir en régie sur la région IDF Présence sur site : 3 jours / semaine Compétences obligatoires : analyse de risques ; identification des enjeux cyber ; connaissance de la réglementation ; veille réglementaire Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Consultant cybersécurité ISP (H/F) – IDF Mission à pourvoir en régie sur la région IDF Présence sur site : 3 jours / semaine Compétences obligatoires : analyse de risques ; identification des enjeux cyber ; connaissance de la réglementation ; veille réglementaire","Île-de-France, France",100-600 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/consultant-cybersecurite-isp-h-f-idf,"
      Freelance
    "
"
      Ingénieur Réseaux
    ","Description de la mission Pour renforcer le service chargé de la gestion du réseau au sein des équipes IT d'Index Éducation, nous recherchons une personne maîtrisant les réseaux de dernières générations. Celle-ci sera capable de participer aux évolutions des architectures réseaux dans un environnement hautement disponible, tant sur le réseau WAN (gestion des transitaires, des vpn inter-site, de l'hébergement extérieur, du pca…) que sur le réseau LAN (administration et configuration des firewalls, des switchs, des routeurs, des équilibreurs de charge, des équipements anti-DDOS…). Votre mission consistera également à réaliser des tâches d'administration (supervision, alerting, IPAM, ...) et à participer à la résolution des incidents clients. Vous serez amené à travailler en étroite collaboration avec les autres services des équipes IT, ainsi que les autres équipes d'Index Éducation. Votre nouvel environnement Routage, Routage Dynamique, switching (Cisco IOS, NX-OS,JunOS) Firewalling (Firewall Palo Alto, Cisco ASA, WAF ) Anti DDOS Load balancer Connaissance des Datacenter Administration de serveur linux (syslog, rancid ...) Critères candidat Niveau d'études min. requis Bac+5 Niveau d'expérience min. requis de 3 à 6 ans Langues Anglais (Courant) Profil : Pour l’égalité des chances, Docaposte fait vivre la diversité. Nos postes sont ouverts à tous. De formation BAC +5, vous justifiez d'une expérience professionnelle d'au moins trois ans en tant qu'ingénieur réseau. Vous êtes doté d'une curiosité technique qui vous amène à explorer sans cesse de nouvelles solutions technologiques. Autonome et rigoureux, vous avez une faculté à prendre et suivre les sujets en produisant des reportings concis. Vous disposez de solides connaissances en réseau interne, data center, gestion d'incidents, exploitation informatique, évolution d'architecture. Vous êtes disposé à faire des déplacements occasionnels.","Aix-en-Provence, Provence-Alpes-Côte d'Azur","10k-70k €⁄an, 100-930 €⁄j",https://www.free-work.com/fr/tech-it/ingenieur-reseaux/job-mission/ingenieur-reseaux-177,"
      Freelance
     
      CDI
    "
"
      NV - Administrateur réseaux et sécurité
    ","Bonjour Je recherche un Administrateur Réseau et Sécurité. Equipe réseaux composé d’un expert à distance qui pilote des équipes réseaux. 90 de RUN (troubleshooting N2/N3) et 10 de BUILD. Réseaux : LAN, WAN, WIFI (constructeur HP et Cisco) Firewall : Palo Alto (en priorité) ou Fortinet (en secondaire) Démarrage: ASAP Lieu : Nantes avec 1 jour de TT par semaine (non négociable) Durée : 1 an renouvelable Pour tout intérêt, merci de m’envoyer votre cv. Cordialement, Nathalie Profil avec au moins 5 ans d’expérience La réussite d’une entreprise repose sur le travail de ses collaborateurs. Chez TEKsystems , nous comprenons les personnes. Chaque année, nous plaçons plus de 80 000 professionnels de l’informatique, dont plusieurs milliers en CDI à travers le monde. Notre connaissance approfondie de la gestion du capital humain nous permet d’aider nos clients à atteindre leurs objectifs métier, tout en optimisant leurs stratégies en matière de personnel informatique","Nantes, Pays de la Loire",,https://www.free-work.com/fr/tech-it/administrateur-reseaux/job-mission/nv-administrateur-reseaux-et-securite,"
      Freelance
    "
"
      Quant Algo Trading - Senior
    ","Chers consultants, Nous sommes à la recherche de profils seniors en Quant Algo Trading pour notre client renommé dans le secteur bancaire. Si vous avez une solide expérience en développement et maintenance d'algorithmes de trading, une maîtrise des outils d'analyse time series et des tests statistiques, ainsi qu'une expertise en Python / R / Matlab, nous aimerions vous entendre. Une expérience dans les salles de marché ou en mentorat serait un atout supplémentaire. Vous êtes motivé(e) pour intégrer une équipe dynamique et travailler sur des projets innovants dans le secteur financier ? Contactez nous dès maintenant ! Le candidat doit avoir au moins 5 ans d'expérience en développement et maintenance des algorithmes de trading, maîtriser les outils d'analyse time series et des tests statistiques, ainsi qu'avoir une expérience en Python / R / Matlab. Il doit également maîtriser les outils de tests automatiques et des outils de suivi de la qualité du code, et connaître les systèmes de contrôle de version. Des connaissances des produits de taux Fixed income et une expérience dans les salles de marché sont souhaitables, tout comme l'expérience de ""Mentoring"" des Juniors. Algorithmes de trading Analyse time series Tests statistiques Python R Matlab Tests automatiques Qualité du code Contrôle de version Taux Fixed income Salles de marché Mentorat des Juniors","Île-de-France, France",100-700 €⁄j,https://www.free-work.com/fr/tech-it/autre/job-mission/quant-algo-trading-senior,"
      Freelance
    "
"
      Un Administrateur Notes Domino Habilité sur le 95
    ","Smarteo recherche pour l'un de ses clients, Un Administrateur Lotus Notes Domino Habilité sur le 95 Description: Prestation d'administration exploitation Notes Domino. Traitement des incidents et demandes de services sur ServiceNow, traitement des demandes IT sur Jira, Description de la mission : Administration des bases NOTES de notre client sur environnement LINUX, DOMINO V12 et WINDOWS/DOMINO 8.5 Missions Principales : Administrations des bases notes (bases utilisateurs, Mail-in, Bases applicatives, ressources) Gestions des certificats DOMINO, des politiques NOTES, des groupes NOTES, des IDs, des coffres d?IDs, des ressources et salles de visioconférence sur demande utilisateur Réalisation des tâches de MCO (purges, archivages des logs, migrations de bases, optimisation, DAOS, requêtes adminp ?) Suivi des incidents (utilisateurs et serveurs) et dépannage en horaires décalés, avec astreintes en heures non ouvrées Ouverture et suivi des case éditeur HCL Réalisation des installations et mises à jour DOMINO Interaction avec les autres équipes de run (réseau, système, pilotage) Communications avec le client (réunions, échanges de courriers) Support à la demande de l'équipe projet Plage Horaire 7h/19hn 5 jours sur 7, avec possibilité d'astreintes en HNO. Travail dans une zone « site sûr », application de consignes de sécurité très stricte. Le collaborateur devra faire l'objet d'une habilitation. Si vous êtes intéressé, merci de me faire parvenir votre TJM ainsi que votre CV à jour au format Word Plage Horaire 7h/19hn 5 jours sur 7, avec possibilité d'astreintes en HNO. Travail dans une zone « site sûr », application de consignes de sécurité très stricte. Le collaborateur devra faire l'objet d'une habilitation. Missions Principales : Administrations des bases notes (bases utilisateurs, Mail-in, Bases applicatives, ressources) Gestions des certificats DOMINO, des politiques NOTES, des groupes NOTES, des IDs, des coffres d?IDs, des ressources et salles de visioconférence sur demande utilisateur Réalisation des tâches de MCO (purges, archivages des logs, migrations de bases, optimisation, DAOS, requêtes adminp ?) Suivi des incidents (utilisateurs et serveurs) et dépannage en horaires décalés, avec astreintes en heures non ouvrées Ouverture et suivi des case éditeur HCL Réalisation des installations et mises à jour DOMINO Interaction avec les autres équipes de run (réseau, système, pilotage) Communications avec le client (réunions, échanges de courriers) Support à la demande de l'équipe projet","Bezons, Île-de-France",100-500 €⁄j,https://www.free-work.com/fr/tech-it/administrateur-bdd/job-mission/un-administrateur-notes-domino-habilite-sur-le-95,"
      Freelance
    "
"
      Consultant cybersécurité Cyberark PAM junior
    ","Dans le cadre d’un renfort, mon client recherche son Consultant cybersécurité cyberark. Le rythme de travail est de deux de jours de remote par semaine. Au sein de l’équipe Support IAM et sous la responsabilité du Responsable Support vos missions seront les suivantes : Traiter les demandes d’incidents remontées par les clients Identifier les problèmes, analyser leur cause, proposer et mettre en œuvre un plan d’actions correctif Support N3 sur les solutions cyberark, wallix , okta Installation et déploiement des patchs de sécurité éditeur, des mises à jour éditeur et des patchs OS Installation des composantes cyberark (PSM,Vault,etc..) , wallix (Bastion , access manager) Développer et mettre en œuvre des workflows Déplacements chez les clients à prévoir Participer au roulement d’astreintes Possibilité de travailler chez des clients en Régie Assurer le pilotage des incidents critiques et majeurs avec les clients et partenaires (constructeurs, éditeurs, sous-traitants) Assurer un suivi régulier des incidents en cours avec les clients pour assurer la satisfaction client Issu(e) d’une formation en cybersécurité et/ou en télécoms . Vous possédez 3 ans d’expérience minimum en tant que Consultant cybersécurité cyberark (H.F) Vous avez déjà réaliser support de niveau 3 , vous connaissez des langages de programmation tels que Python, java, C/C++ La connaissance des bases de données tels LDAP, SQL ou Oracle DB2 est un plus. Hays plc est l’un des principaux groupes mondiaux de recrutement de professionnels. Hays est l’expert du recrutement de personnes qualifiées, professionnelles et compétentes dans le monde entier. Hays est le leader du marché au Royaume-Uni et en Asie-Pacifique et également l’un des leaders du marché en Europe continentale et en Amérique latine. Hays intervient pour le compte de milliers d’entreprises des secteurs privé et public, sur des postes en CDI, CDD, Travail Temporaire et Contracting. Hays France & Luxembourg compte aujourd’hui plus de 650 salariés répartis au sein de 22 bureaux (Aix-en-Provence, Amiens, Biarritz, Bordeaux, Clermont-Ferrand, Dijon, Grenoble, La Rochelle, Lille, Lyon, Montpellier, Nancy, Nantes, Nice, Paris, Reims, Rennes, Rouen, Strasbourg, Toulouse, Tours et au Luxembourg) couvrant 25 secteurs d’activité.","Paris, France",400-480 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/consultant-cybersecurite-cyberark-pam-junior,"
      Freelance
    "
"
      Expert Active directory
    ","PROPULSE IT accompagne ses clients grands comptes et PME dans la mise en œuvre des projets It et digitaux. PROPULSE IT est un réseau de consultants à forte valeur ajoutée, complètement associé à notre démarche qualité de suivi des besoins et projets de nos clients. A ce jour, le réseau de freelance PROPULSE IT comporte plus de 18000 consultants sur toute la France, et couvre l'ensemble des besoins IT et digitaux. En constituant ce réseau par cooptation de clients ou de consultants, nous avons privilégié la constance dans le savoir-faire technique et le savoir-être, pour devenir un véritable partenaire privilégié de nos clients. Parallèlement, nous savons développé un réseau de partenaires sélectionnées pour leur expertise technique, et l'adhésion aux valeurs de notre entreprise. Aujourd'hui PROPULSE IT est une société en pleine croissance organique, Champion de la Croissance du journal Les Echos 4 années consécutives. Ce développement s'appuie sur la qualité et la pérennité des missions réalisées. La satisfaction client est ainsi liée à l'épanouissement des consultants ! Alors, n'hésitez pas à postuler ! PROPULSE IT recherche un Expert Active Directory pour renforcer les aquipes d'un de ses clients. Au sein de l'entité Expertise et Stratégie de la Production, l'équipe de gestion des Identité et des Service Transverses est chargée de la conception, de mise en œuvre et du maintien des solutions de gestion de l'identité et des accès. Cette équipe souhaite renforcer son pôle de compétences Active Directory, avec une prestation d'expert technique sur les technologies Microsoft afin de l'assister sur les projets et actions d'ingénieries ainsi que sur les missions de support niveau 3 / conseil / expertise aux équipes de la production et des différents utilisateurs des services. Les technologies sont les suivantes : ? Un service de gestion des authentifications et de l'identité numérique des authentifications bureautique : o Microsoft Active Directory 2016 o Microsoft Active Directory 2019 o Microsoft Pass-Through Authentication o Microsoft Entra-ID ? Un service de provisionning des comptes dans l'Active Directory : o Microsoft Identity Manager ? Un service de provisionning des comptes dans Entra ID (Azure Active Directory) o Microsoft Azure Active Directory Connect ? Un service de gestion des accès aux serveurs et services de la production (bastion) o Wallix L'objectif de la mission est d' accompagner sur : ? La mise en œuvre des évolutions fonctionnelles et techniques des solutions -Traiter les projets de mise en œuvre de nouveaux services. - Traiter les projets ou sujets d'évolutions. - Fournir les comptes rendus des réunions réalisées avec les différents acteurs du projet ? Le support (du N1 au N3) aux équipes du pole production et des utilisateurs - Assurer le support des solutions actuellement utilisées. - Réaliser les escalades aux niveaux de support supérieur quand cela est nécessaire. - Fournir de manière mensuel les statistiques de traitement des incidents et des problèmes. ? La mise en place de documentations techniques permettant d'améliorer les actions d'administration. Les compétences techniques attendues sont les suivantes (par ordre de priorité) : - Expérience sur l'ingénierie (mise en œuvre et administration technique) Microsoft Active Directory - Expérience sur l'ingénierie (mise en œuvre et administration technique) Microsoft Entra ID (Azure Active Directory) - Connaissance Microsoft Azure Active Directory Connect - Connaissance Microsoft Identity Manager - Une expérience sur une solution de bastion (Wallix) Les compétences fonctionnelles attendues sont les suivantes : ? Expérience sur la réalisation de projet technique ? Expérience sur le traitement des incidents","Paris, France",,https://www.free-work.com/fr/tech-it/expert/job-mission/expert-active-directory-128,"
      Freelance
    "
"
      Consultant SAP Autorisations et Sécurité
    ","Notre client à renforcer son équipe sur la partie SAP Autorisations et Sécurité. Tâches à réaliser pendant la mission: Analyse des besoins en sécurité et des configurations actuelles. Conception des autorisations SAP. Support sur la partie Run. Révision et optimisation des profils et des rôles SAP existants. Formation et support aux utilisateurs finaux sur les aspects sécuritaires. Langues attendues : Français et Anglais. Lieu : Genève 4jours par semaine, avec possibilité de télétravail 1 jours par semaine. Expérience : Minimum de 5 ans d'expérience dans les autorisations et la sécurité SAP. Maîtrise des modules SAP Security et Autorisations. Connaissance approfondie des best practices en matière de sécurité SAP. Expérience sur S4 Hana en bonus. Capacité d'analyse et de résolution de problèmes. Excellentes compétences en communication, à l'oral comme à l'écrit. Aptitude à travailler en équipe et à interagir avec des interlocuteurs variés .","Genève, Suisse",600-900 €⁄j,https://www.free-work.com/fr/tech-it/consultant-erp-systems/job-mission/consultant-sap-autorisations-et-securite,"
      Freelance
    "
"
      Directeur de Programme ""DORA IMPÉRATIF"" 
    ","Le projet DORA est un projet de mise en conformité à la réglementation DORA. C’est un projet de transformation complexe comportant des dimensions organisationnelles et technologiques, avec des parties prenantes de diverses directions (cybersécurité, informatique, juridique, achats…).La mission se déroulera au sein de la DCRN (Direction Cybersécurité et Risques Numériques) et plus particulièrement au sein de la Division GRC (Gouvernance, Risque, Conformité) en charge de la mise en conformité aux réglementations cyber. La société devra fournir les prestations suivantesLe directeur de projet assume la responsabilité du programme de mise en conformité à la réglementation DORA. Il pilote l’ensemble les projets dans toute leur complexité (multiplicité des parties prenantes, intérêts divergents…). Garant de la maîtrise des dimensions « coûts » et « délais » des projets, Il s’appuie sur le pilote métier Covéa pour définir les trajectoires et atteindre les niveaux de qualité attendus.Les missions du directeur de projet sont les suivantes : • S’assure que les chantiers du projet soient réalisés selon les budgets et délais impartis. • S’assure de l’adéquation entre les objectifs projets et moyens mis à disposition : conduit, optimise et est responsable de l'ensemble des ressources des projets • Travaille en tandem avec le pilote métier pour définir les objectifs des projets et garantir la qualité des éléments produits. • Gère et anime la communication auprès des équipes et des différentes instances, à tous niveaux : comités opérationnels, comités de pilotages, comités de direction • Produit et assure le suivi des indicateurs de performance du programme (en termes de coûts, qualité, délais) • Assure le suivi des risques liés au programme et procède aux escalades si nécessaire • Gère les interactions avec les autres projets en adhérence avec le programme • Prépare et pilote la conduite du changement.","Île-de-France, France",100-1k €⁄j,https://www.free-work.com/fr/tech-it/data-manager/job-mission/directeur-de-programme-dora-imperatif,"
      Freelance
    "
"
      Expert Cybersécurité SAP (H/F)
    ","Le client est un grand compte du secteur du luxe. Le département Opérations et Finance a en charge l’ensemble du backbone applicatif constitué entre autres de près de 400 instances SAP de technologies très diverses. Dans le cadre de la stratégie groupe de durcissement sécurité des systèmes SAP, le client a besoin de renforcer ses équipes avec un consultant Cybersécurité SAP ayant des compétences cyber, basis SAP et en gestion de projet. Les premiers besoins identifiés à date, et qui évolueront au fur et à mesure de l’implémentation des premiers axes de durcissement, sont les suivants : •	Assistance dans la sécurisation des comptes de services (comptes techniques inter systèmes/applicatifs/base de données) en s’appuyant sur les lignes de service groupe en place à cet effet (gMSA, CyberArk etc..) et ce pour l’ensemble du paysage SAP du groupe •	Maintenance et amélioration des politiques de sécurité de la solution SAP Focused Run en cours de déploiement dédiée à la vérification du niveau de maturité sur le plan de la sécurité applicative de toutes nos instances SAP par rapport au Security Standard groupe •	Suivi de la remédiation des non-conformités des instances SAP sur Focused Run par rapport au SAP Security Standard •	Etude et définition de la politique de décommissionnement/archivage réglementaire des paysages SAP dans le cadre du déploiement du programme phare NEO (nouvelle plateforme S/4 HANA) •	Initiation d’un audit SOS au travers de Solman, dans un premier temps sur le périmètre de NEO (S/4 HANA) puis, sur un périmètre plus élargi d’applicatifs SAP critiques. Suivi auprès des IT/Business owners de la bonne implémentation des remédiations identifiées •	Assistance au lancement d’un RFP pour le choix d’une solution de SIEM applicatif SAP Expérience dans le retail / luxe serait un gros + 2j de télétravail par semaine","Aulnay-sous-Bois, Île-de-France",650-700 €⁄j,https://www.free-work.com/fr/tech-it/consultant-erp-systems/job-mission/expert-cybersecurite-sap-h-f,"
      Freelance
    "
